sku,price,currency,is_instock,condition,last_updated
EJBNK15SALEM,2980000,IDR,False,,2023-07-21 22:27:00+00:00
EJBNK17GOLD,29800,IDR,True,new,2023-07-10 13:16:00+00:00
EJBNK17GOLD,29800,IDR,True,new,2023-07-10 20:06:00+00:00
EJBNK17GOLD,29800,IDR,True,new,2023-07-11 20:04:00+00:00
EJBNK17GOLD,29800,IDR,True,new,2023-07-12 22:05:00+00:00
EJBNK17GOLD,29800,IDR,True,new,2023-07-13 22:03:00+00:00
EJBNK17GOLD,29800,IDR,True,new,2023-07-14 22:06:00+00:00
EJBNK17GOLD,29800,IDR,True,new,2023-07-15 22:05:00+00:00
EJBNK17GOLD,29800,IDR,True,new,2023-07-16 22:06:00+00:00
EJBNK17GOLD,29800,IDR,True,new,2023-07-17 22:06:00+00:00
EJBNK17GOLD,29800,IDR,True,new,2023-07-18 22:05:00+00:00
EJBNK17GOLD,29800,IDR,True,new,2023-07-19 22:07:00+00:00
EJBNK17GOLD,2980000,IDR,True,,2023-07-20 22:22:00+00:00
EJBNK17GOLD,2980000,IDR,True,,2023-07-20 22:22:00+00:00
EJBNK17GOLD,2980000,IDR,True,,2023-07-21 22:27:00+00:00
EJBNK19GOLD,41000,IDR,False,new,2023-07-10 13:16:00+00:00
EJBNK19GOLD,41000,IDR,False,new,2023-07-10 20:06:00+00:00
EJBNK19GOLD,41000,IDR,False,new,2023-07-11 20:04:00+00:00
EJBNK19GOLD,41000,IDR,False,new,2023-07-12 22:05:00+00:00
EJBNK19GOLD,41000,IDR,False,new,2023-07-13 22:03:00+00:00
EJBNK19GOLD,41000,IDR,False,new,2023-07-14 22:06:00+00:00
EJBNK19GOLD,41000,IDR,False,new,2023-07-15 22:05:00+00:00
EJBNK19GOLD,41000,IDR,False,new,2023-07-16 22:06:00+00:00
EJBNK19GOLD,41000,IDR,False,new,2023-07-17 22:06:00+00:00
EJBNK19GOLD,41000,IDR,False,new,2023-07-18 22:05:00+00:00
EJBNK19GOLD,41000,IDR,False,new,2023-07-19 22:07:00+00:00
EJBNK19GOLD,4100000,IDR,False,,2023-07-20 22:22:00+00:00
EJBNK19GOLD,4100000,IDR,False,,2023-07-20 22:22:00+00:00
EJBNK19GOLD,4100000,IDR,False,,2023-07-21 22:27:00+00:00
EJBNK19GOLD,4100000,IDR,False,,2023-07-21 22:27:00+00:00
EJBNK20GOLD,41000,IDR,False,new,2023-07-10 13:16:00+00:00
EJBNK20GOLD,41000,IDR,False,new,2023-07-10 20:06:00+00:00
EJBNK20GOLD,41000,IDR,False,new,2023-07-11 20:04:00+00:00
EJBNK20GOLD,41000,IDR,False,new,2023-07-12 22:05:00+00:00
EJBNK20GOLD,41000,IDR,False,new,2023-07-13 22:03:00+00:00
EJBNK20GOLD,41000,IDR,False,new,2023-07-14 22:06:00+00:00
EJBNK20GOLD,41000,IDR,False,new,2023-07-15 22:05:00+00:00
EJBNK20GOLD,41000,IDR,False,new,2023-07-16 22:06:00+00:00
EJBNK20GOLD,41000,IDR,False,new,2023-07-17 22:06:00+00:00
EJBNK20GOLD,41000,IDR,False,new,2023-07-18 22:05:00+00:00
EJBNK20GOLD,41000,IDR,False,new,2023-07-19 22:07:00+00:00
EJBNK20GOLD,4100000,IDR,False,,2023-07-20 22:22:00+00:00
EJBNK20GOLD,4100000,IDR,False,,2023-07-20 22:22:00+00:00
EJBNK20GOLD,4100000,IDR,False,,2023-07-21 22:27:00+00:00
EJBNK20GOLD,4100000,IDR,False,,2023-07-21 22:27:00+00:00
EJBNK29GOLD,2980000,IDR,False,,2023-07-20 22:22:00+00:00
EJBNK29GOLD,2980000,IDR,False,,2023-07-21 22:27:00+00:00
EJBNK30GOLD,41000,IDR,False,new,2023-07-10 13:16:00+00:00
EJBNK30GOLD,41000,IDR,False,new,2023-07-10 20:06:00+00:00
EJBNK30GOLD,41000,IDR,False,new,2023-07-11 20:04:00+00:00
EJBNK30GOLD,41000,IDR,False,new,2023-07-12 22:05:00+00:00
EJBNK30GOLD,41000,IDR,False,new,2023-07-13 22:03:00+00:00
EJBNK30GOLD,41000,IDR,False,new,2023-07-14 22:06:00+00:00
EJBNK30GOLD,41000,IDR,False,new,2023-07-15 22:05:00+00:00
EJBNK30GOLD,41000,IDR,False,new,2023-07-16 22:06:00+00:00
EJBNK30GOLD,41000,IDR,False,new,2023-07-17 22:06:00+00:00
EJBNK30GOLD,41000,IDR,False,new,2023-07-18 22:05:00+00:00
EJBNK30GOLD,41000,IDR,False,new,2023-07-19 22:07:00+00:00
EJBNK30GOLD,4100000,IDR,False,,2023-07-20 22:22:00+00:00
EJBNK30GOLD,4100000,IDR,False,,2023-07-20 22:22:00+00:00
EJBNK30GOLD,4100000,IDR,False,,2023-07-21 22:27:00+00:00
EJBNK30GOLD,4100000,IDR,False,,2023-07-21 22:27:00+00:00
EJBNK31GOLD,41000,IDR,False,new,2023-07-10 13:16:00+00:00
EJBNK31GOLD,41000,IDR,False,new,2023-07-10 20:06:00+00:00
EJBNK31GOLD,41000,IDR,False,new,2023-07-11 20:04:00+00:00
EJBNK31GOLD,41000,IDR,False,new,2023-07-12 22:05:00+00:00
EJBNK31GOLD,41000,IDR,False,new,2023-07-13 22:03:00+00:00
EJBNK31GOLD,41000,IDR,False,new,2023-07-14 22:06:00+00:00
EJBNK31GOLD,41000,IDR,False,new,2023-07-15 22:05:00+00:00
EJBNK31GOLD,41000,IDR,False,new,2023-07-16 22:06:00+00:00
EJBNK31GOLD,41000,IDR,False,new,2023-07-17 22:06:00+00:00
EJBNK31GOLD,41000,IDR,False,new,2023-07-18 22:05:00+00:00
EJBNK31GOLD,41000,IDR,False,new,2023-07-19 22:07:00+00:00
EJBNK31GOLD,4100000,IDR,False,,2023-07-20 22:22:00+00:00
EJBNK31GOLD,4100000,IDR,False,,2023-07-20 22:22:00+00:00
EJBNK31GOLD,4100000,IDR,False,,2023-07-21 22:27:00+00:00
EJBNK31GOLD,4100000,IDR,False,,2023-07-21 22:27:00+00:00
EJBNK33GOLD,3330000,IDR,False,,2023-07-20 22:22:00+00:00
EJBNK33GOLD,3330000,IDR,False,,2023-07-21 22:27:00+00:00
EJBNK34BLACK,4100000,IDR,False,,2023-07-20 22:22:00+00:00
EJBNK34BLACK,4100000,IDR,False,,2023-07-21 22:27:00+00:00
EJBNK35BLACK,1900000,IDR,False,,2023-07-20 22:22:00+00:00
EJBNK35BLACK,1900000,IDR,False,,2023-07-21 22:27:00+00:00
EJBNK35RED,1900000,IDR,False,,2023-07-20 22:22:00+00:00
EJBNK35RED,1900000,IDR,False,,2023-07-21 22:27:00+00:00
EJBNK35WHITE,1900000,IDR,False,,2023-07-20 22:22:00+00:00
EJBNK35WHITE,1900000,IDR,False,,2023-07-21 22:27:00+00:00
EJBNK36BLACK,2200000,IDR,False,,2023-07-20 22:22:00+00:00
EJBNK37GOLD,3510000,IDR,False,,2023-07-20 22:22:00+00:00
EJBNK37GOLD,3510000,IDR,False,,2023-07-21 22:27:00+00:00
EJBNK38GOLD,3330000,IDR,False,,2023-07-20 22:22:00+00:00
EJBNK38GOLD,3330000,IDR,False,,2023-07-21 22:27:00+00:00
EJBNK38RED,3330000,IDR,False,,2023-07-20 22:22:00+00:00
EJBNK38RED,3330000,IDR,False,,2023-07-21 22:27:00+00:00
EJBNK39GOLD,2125000,IDR,False,,2023-07-20 22:22:00+00:00
EJBNK39GOLD,2125000,IDR,False,,2023-07-21 22:27:00+00:00
EJBNK40GOLD,29800,IDR,False,new,2023-07-10 13:16:00+00:00
EJBNK40GOLD,29800,IDR,False,new,2023-07-10 20:06:00+00:00
EJBNK40GOLD,29800,IDR,False,new,2023-07-11 20:04:00+00:00
EJBNK40GOLD,29800,IDR,False,new,2023-07-12 22:05:00+00:00
EJBNK40GOLD,29800,IDR,False,new,2023-07-13 22:03:00+00:00
EJBNK40GOLD,29800,IDR,False,new,2023-07-14 22:06:00+00:00
EJBNK40GOLD,29800,IDR,False,new,2023-07-15 22:05:00+00:00
EJBNK40GOLD,29800,IDR,False,new,2023-07-16 22:06:00+00:00
EJBNK40GOLD,29800,IDR,False,new,2023-07-17 22:06:00+00:00
EJBNK40GOLD,29800,IDR,False,new,2023-07-18 22:05:00+00:00
EJBNK40GOLD,29800,IDR,False,new,2023-07-19 22:07:00+00:00
EJBNK40GOLD,2980000,IDR,False,,2023-07-20 22:22:00+00:00
EJBNK40GOLD,2980000,IDR,False,,2023-07-20 22:22:00+00:00
EJBNK40GOLD,2980000,IDR,False,,2023-07-21 22:27:00+00:00
EJBNK41GOLD,1700000,IDR,False,,2023-07-20 22:22:00+00:00
EJBNK41GOLD,1700000,IDR,False,,2023-07-21 22:27:00+00:00
EJBNK42WHITE,4100000,IDR,False,,2023-07-20 22:22:00+00:00
EJBNK42WHITE,4100000,IDR,False,,2023-07-21 22:27:00+00:00
EJBNK43BLACK,1590000,IDR,False,,2023-07-20 22:22:00+00:00
EJBNK44WHITE,2925000,IDR,False,,2023-07-20 22:22:00+00:00
EJBNK44WHITE,2925000,IDR,False,,2023-07-21 22:27:00+00:00
EJBNK45GOLD,1590000,IDR,False,,2023-07-20 22:22:00+00:00
EJBNK45GOLD,1590000,IDR,False,,2023-07-21 22:27:00+00:00
EJBNK46ALMOND,38500,IDR,False,new,2023-07-10 13:16:00+00:00
EJBNK46ALMOND,38500,IDR,False,new,2023-07-10 20:06:00+00:00
EJBNK46ALMOND,38500,IDR,False,new,2023-07-11 20:04:00+00:00
EJBNK46ALMOND,38500,IDR,False,new,2023-07-12 22:05:00+00:00
EJBNK46ALMOND,38500,IDR,False,new,2023-07-13 22:03:00+00:00
EJBNK46ALMOND,38500,IDR,False,new,2023-07-14 22:06:00+00:00
EJBNK46ALMOND,38500,IDR,False,new,2023-07-15 22:05:00+00:00
EJBNK46ALMOND,38500,IDR,False,new,2023-07-16 22:06:00+00:00
EJBNK46ALMOND,38500,IDR,False,new,2023-07-17 22:06:00+00:00
EJBNK46ALMOND,38500,IDR,False,new,2023-07-19 22:07:00+00:00
EJBNK46ALMOND,3850000,IDR,False,,2023-07-20 22:22:00+00:00
EJBNK46ALMOND,3850000,IDR,False,,2023-07-20 22:22:00+00:00
EJBNK46ALMOND,3850000,IDR,False,,2023-07-21 22:27:00+00:00
EJBNK46ALMOND,3850000,IDR,False,,2023-07-21 22:27:00+00:00
EJBNK46CREAM,38500,IDR,False,new,2023-07-10 13:16:00+00:00
EJBNK46CREAM,38500,IDR,False,new,2023-07-10 20:06:00+00:00
EJBNK46CREAM,38500,IDR,False,new,2023-07-11 20:04:00+00:00
EJBNK46CREAM,38500,IDR,False,new,2023-07-12 22:05:00+00:00
EJBNK46CREAM,38500,IDR,False,new,2023-07-13 22:03:00+00:00
EJBNK46CREAM,38500,IDR,False,new,2023-07-14 22:06:00+00:00
EJBNK46CREAM,38500,IDR,False,new,2023-07-15 22:05:00+00:00
EJBNK46CREAM,38500,IDR,False,new,2023-07-16 22:06:00+00:00
EJBNK46CREAM,38500,IDR,False,new,2023-07-17 22:06:00+00:00
EJBNK46CREAM,38500,IDR,False,new,2023-07-19 22:07:00+00:00
EJBNK46CREAM,3850000,IDR,False,,2023-07-20 22:22:00+00:00
EJBNK46CREAM,3850000,IDR,False,,2023-07-20 22:22:00+00:00
EJBNK46CREAM,3850000,IDR,False,,2023-07-21 22:27:00+00:00
EJBNK46GOLD,3850000,IDR,False,,2023-07-20 22:22:00+00:00
EJBNK46GOLD,3850000,IDR,False,,2023-07-21 22:27:00+00:00
EJBNK48SALEM,22000,IDR,False,new,2023-07-10 13:16:00+00:00
EJBNK48SALEM,22000,IDR,False,new,2023-07-10 20:06:00+00:00
EJBNK48SALEM,22000,IDR,False,new,2023-07-11 20:04:00+00:00
EJBNK48SALEM,22000,IDR,False,new,2023-07-12 22:05:00+00:00
EJBNK48SALEM,22000,IDR,False,new,2023-07-13 22:03:00+00:00
EJBNK48SALEM,22000,IDR,False,new,2023-07-14 22:06:00+00:00
EJBNK48SALEM,22000,IDR,False,new,2023-07-15 22:05:00+00:00
EJBNK48SALEM,22000,IDR,False,new,2023-07-16 22:06:00+00:00
EJBNK48SALEM,22000,IDR,False,new,2023-07-17 22:06:00+00:00
EJBNK48SALEM,22000,IDR,False,new,2023-07-18 22:05:00+00:00
EJBNK48SALEM,22000,IDR,False,new,2023-07-19 22:07:00+00:00
EJBNK48SALEM,2200000,IDR,False,,2023-07-20 22:22:00+00:00
EJBNK48SALEM,2200000,IDR,False,,2023-07-20 22:22:00+00:00
EJBNK48SALEM,2200000,IDR,False,,2023-07-21 22:27:00+00:00
EJBNK48SALEM,2200000,IDR,False,,2023-07-21 22:27:00+00:00
EJBNK49BLACK,15900,IDR,False,new,2023-07-10 13:16:00+00:00
EJBNK49BLACK,15900,IDR,False,new,2023-07-10 20:06:00+00:00
EJBNK49BLACK,15900,IDR,False,new,2023-07-11 20:04:00+00:00
EJBNK49BLACK,15900,IDR,False,new,2023-07-12 22:05:00+00:00
EJBNK49BLACK,15900,IDR,False,new,2023-07-13 22:03:00+00:00
EJBNK49BLACK,15900,IDR,False,new,2023-07-14 22:06:00+00:00
EJBNK49BLACK,15900,IDR,False,new,2023-07-15 22:05:00+00:00
EJBNK49BLACK,15900,IDR,False,new,2023-07-16 22:06:00+00:00
EJBNK49BLACK,15900,IDR,False,new,2023-07-17 22:06:00+00:00
EJBNK49BLACK,15900,IDR,False,new,2023-07-18 22:05:00+00:00
EJBNK49BLACK,15900,IDR,False,new,2023-07-19 22:07:00+00:00
EJBNK49BLACK,1590000,IDR,False,,2023-07-20 22:22:00+00:00
EJBNK49BLACK,1590000,IDR,False,,2023-07-20 22:22:00+00:00
EJBNK49BLACK,1590000,IDR,False,,2023-07-21 22:27:00+00:00
EJBNK49WHITE,15900,IDR,False,new,2023-07-10 13:16:00+00:00
EJBNK49WHITE,15900,IDR,False,new,2023-07-10 20:06:00+00:00
EJBNK49WHITE,15900,IDR,False,new,2023-07-11 20:04:00+00:00
EJBNK49WHITE,15900,IDR,False,new,2023-07-12 22:05:00+00:00
EJBNK49WHITE,15900,IDR,False,new,2023-07-13 22:03:00+00:00
EJBNK49WHITE,15900,IDR,False,new,2023-07-14 22:06:00+00:00
EJBNK49WHITE,15900,IDR,False,new,2023-07-15 22:05:00+00:00
EJBNK49WHITE,15900,IDR,False,new,2023-07-16 22:06:00+00:00
EJBNK49WHITE,15900,IDR,False,new,2023-07-17 22:06:00+00:00
EJBNK49WHITE,15900,IDR,False,new,2023-07-18 22:05:00+00:00
EJBNK49WHITE,15900,IDR,False,new,2023-07-19 22:07:00+00:00
EJBNK49WHITE,1590000,IDR,False,,2023-07-20 22:22:00+00:00
EJBNK49WHITE,1590000,IDR,False,,2023-07-20 22:22:00+00:00
EJBNK49WHITE,1590000,IDR,False,,2023-07-21 22:27:00+00:00
EJBNK50GOLD,3850000,IDR,False,,2023-07-20 22:22:00+00:00
EJBNK50GOLD,3850000,IDR,False,,2023-07-21 22:27:00+00:00
EJBNK51SALEM,52200,IDR,False,new,2023-07-10 13:16:00+00:00
EJBNK51SALEM,52200,IDR,False,new,2023-07-10 20:06:00+00:00
EJBNK51SALEM,52200,IDR,False,new,2023-07-11 20:04:00+00:00
EJBNK51SALEM,52200,IDR,False,new,2023-07-12 22:05:00+00:00
EJBNK51SALEM,52200,IDR,False,new,2023-07-13 22:03:00+00:00
EJBNK51SALEM,52200,IDR,False,new,2023-07-14 22:06:00+00:00
EJBNK51SALEM,52200,IDR,False,new,2023-07-15 22:05:00+00:00
EJBNK51SALEM,52200,IDR,False,new,2023-07-16 22:06:00+00:00
EJBNK51SALEM,52200,IDR,False,new,2023-07-17 22:06:00+00:00
EJBNK51SALEM,52200,IDR,False,new,2023-07-18 22:05:00+00:00
EJBNK51SALEM,52200,IDR,False,new,2023-07-19 22:07:00+00:00
EJBNK51SALEM,5220000,IDR,False,,2023-07-20 22:22:00+00:00
EJBNK51SALEM,5220000,IDR,False,,2023-07-20 22:22:00+00:00
EJBNK51SALEM,5220000,IDR,False,,2023-07-21 22:27:00+00:00
EJBNK51SALEM,5220000,IDR,False,,2023-07-21 22:27:00+00:00
EJBNK52CHOCO,45200,IDR,False,new,2023-07-10 13:16:00+00:00
EJBNK52CHOCO,45200,IDR,False,new,2023-07-10 13:16:00+00:00
